Catalog_number	Tissue_number	BC_genetic_cluster_assignment	CC_genetic_cluster_assignment	DecimalLongitude	DecimalLatitude	Sampling_period	Location_code	Included_in_tess3r	Sex	Wing	Tail	Weight	Comments_on_measurements	Specific_locality	County	State	Remarks	Gonads	Molt	Day	Month	Year	Macaulay_Library_catalog	Song_summary	PC1	Hybrid_Index
132089	32560	0	1	-94.0858	38.1178	MODERN	35	YES	female	NA		11.6		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132088	oviduct 2.5 mm in diameter & convoluted; 2 collasped ova; brood patch present	no	9	Apr	2016			8.25536505	0.692
132090	32586	0.999	0.001	-94.0847	38.1161	MODERN	37	YES	female	NA		12.3		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132091	"ovary mass 8 x 6 mm, lg. ovum 1.5 x 1.5 mm, oviduct not visible"	no	9	Apr	2016			-9.310092384	0.3188
132091	32585	0.001	0.999	-94.0847	38.1161	MODERN	37	YES	male	NA		11.3		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132090	"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523602	BOTH	6.503960744	0.6416
132092	32553	0.002	0.998	-94.0878	38.1191	MODERN	22	YES	male	NA		11.5		"Rockville, 3.2 miles north"	Bates	Missouri		"testes 8.5 x 5.5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523604	PUREBC	5.947438054	0.6685
132093	32568	0.999	0.001	-94.0872	38.1193	MODERN	23	YES	male	NA		12.4		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132094	"testes 9 x 5.5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523600	PUREBC	-9.727053262	0.2449
132094	32555	0.9352	0.0648	-94.0872	38.1193	MODERN	23	YES	female	NA		12.3		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132093	oviduct 3.5 mm in diameter & convoluted; lg. ovum 1.5 x 1.5 mm; brood patch present	no	9	Apr	2016			-7.900280727	0.3401
132095	32571	0.8948	0.1052	-94.1182	38.1198	MODERN	10	YES	male	NA		12.8		"Rockville, 4 miles northwest"	Bates	Missouri		"testes 8.5 x 5.5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523597	BOTH	-8.52919845	0.3088
132096	32574	0.6464	0.3536	-94.1163	38.1195	MODERN	13	YES	male	NA		11.6		"Rockville, 4 miles northwest"	Bates	Missouri		"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523598	BOTH	-3.268479827	0.4102
132097	32589	0	1	-94.1163	38.1195	MODERN	13	YES	male	NA		10.7		"Rockville, 4 miles northwest"	Bates	Missouri	with KU 132098	"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016			8.473106249	0.669
132098	32590	0.582	0.418	-94.1163	38.1195	MODERN	13	YES	female	NA		10.6		"Rockville, 4 miles northwest"	Bates	Missouri	with KU 132097	"ovary minute, oviduct straight"	no	9	Apr	2016			-2.770004898	0.4238
