Catalog_number	Tissue_number	BC_genetic_cluster_assignment	CC_genetic_cluster_assignment	DecimalLongitude	DecimalLatitude	Sampling_period	Location_code	Included_in_tess3r	Sex	Wing	Tail	Weight	Comments_on_measurements	Specific_locality	County	State	Remarks	Gonads	Molt	Day	Month	Year	Macaulay_Library_catalog	Song_summary	PC1	Hybrid_Index
99790	649259	0.9996	4.00E-04	-94.01	38.183	SMITHSONIAN	5	YES	male	NA		NA		1.0 mi E & 0.5 mi S Appleton City	St. Clair	Missouri				3	Apr	1980	210617		-11.93195649	0.2675
99791	649251	0.4928	0.5072	-94.01	38.183	SMITHSONIAN	5	YES	male	NA		NA		1.0 mi E & 0.5 mi S Appleton City	St. Clair	Missouri				3	Apr	1980	210615		-1.981892233	0.4675
99792	649230	0.364	0.636	-93.961	38.147	SMITHSONIAN	9	YES	male	NA		NA		3.5 mi E & 2.5 mi S Appleton City	St. Clair	Missouri				23	Apr	1978	209697		1.043185413	0.546
99793	649231	2.00E-04	0.9998	-93.961	38.14	SMITHSONIAN	10	YES	male	NA		NA		3.5 mi E & 3.0 mi S Appleton City	St. Clair	Missouri				23	Apr	1978			9.574354214	0.7078
99794	649240	0.0034	0.9966	-93.961	38.14	SMITHSONIAN	10	YES	male	NA		NA		3.5 mi E & 3.0 mi S Appleton City	St. Clair	Missouri				23	Apr	1978	209695		6.087512014	0.6334
99795	649241	0.999	0.001	-93.961	38.14	SMITHSONIAN	10	YES	female	NA		NA		3.5 mi E & 3.0 mi S Appleton City	St. Clair	Missouri				23	Apr	1978			-10.5830196	0.2812
99796	649234	0.4658	0.5342	-93.943	38.14	SMITHSONIAN	14	YES	male	NA		NA		4.5 mi E & 3.0 mi S Appleton City	St. Clair	Missouri				23	Apr	1978			-0.60643262	0.5049
99797	649239	0.9772	0.0228	-93.979	38.13	SMITHSONIAN	13	YES	male	NA		NA		4.0 mi S & 2.5 mi E Appleton City	St. Clair	Missouri				22	Apr	1978	209693		-8.138476353	0.3088
99798	649232	0.4472	0.5528	-93.961	38.147	SMITHSONIAN	9	YES	male	NA		NA		3.5 mi E & 2.5 mi S Appleton City	St. Clair	Missouri				23	Apr	1978	209696		0.079146301	0.4992
99800	649315	0.001	0.999	-94.054	38.065	SMITHSONIAN	18	YES	female	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980			6.418584662	0.6506
99801	649323	0.457	0.543	-94.054	38.065	SMITHSONIAN	18	YES	male	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				31	Mar	1980	210186		-0.530365403	0.4873
99802	649313	0.002	0.998	-94.054	38.065	SMITHSONIAN	18	YES	male	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980	210195		9.372990102	0.6506
99803	649314	0.479	0.521	-94.054	38.065	SMITHSONIAN	18	YES	male	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980	210196		1.082555437	0.4868
99804	649317	0.001	0.999	-94.055	38.105	SMITHSONIAN	8	YES	female	NA		NA		"Campbell Branch Cr., 2.0 mi N & 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980			6.368601454	0.6657
99805	649318	0.545	0.455	-94.054	38.065	SMITHSONIAN	18	YES	female	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980			-1.91825212	0.4672
99806	649319	0.999	0.001	-94.054	38.065	SMITHSONIAN	18	YES	female	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980			-6.728009643	0.3146
99807	649320	0.9958	0.0042	-94.054	38.065	SMITHSONIAN	18	YES	female	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980			-7.619606378	0.3392
99808	649321	0	1	-94.054	38.065	SMITHSONIAN	18	YES	female	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980			8.98630614	0.6787
99809	649322	0.5542	0.4458	-94.054	38.065	SMITHSONIAN	18	YES	female	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980			-3.053101188	0.4421
99810	649324	0.4616	0.5384	-94.054	38.065	SMITHSONIAN	18	YES	male	NA		NA		"Campbell Branch Cr., 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980	210194		0.252714947	0.514
99811	649316	0.0034	0.9966	-94.055	38.105	SMITHSONIAN	8	YES	male	NA		NA		"Campbell Branch Cr., 2.0 mi N & 1.0 mi E Rockville"	St. Clair	Missouri				2	Apr	1980	210198		8.72572009	0.64
99812	649253	0.001	0.999	-94.011	38	SMITHSONIAN	19	YES	male	NA		NA		0.5 mi S & 1.0 mi W Taberville	St. Clair	Missouri				5	Apr	1980	210628		6.008556977	0.6958
99813	649254	0.001	0.999	-94.011	38	SMITHSONIAN	19	YES	female	NA		NA		0.5 mi S & 1.0 mi W Taberville	St. Clair	Missouri				5	Apr	1980			8.88966394	0.6765
99851	649235	0.999	0.001	-94.439	37.565	SMITHSONIAN	15	NO	male	NA		NA		4.5 mi E Liberal	Barton	Missouri				15	Apr	1978	209684		-7.418861755	0.3128
99854	649229	0.001	0.999	-94.089	38.075	SMITHSONIAN	7	YES	male	NA		NA		0.25 mi W Rockville	Bates	Missouri				22	Apr	1978	209691		6.89644078	0.6703
99858	649236	0.4724	0.5276	-94.424	37.755	SMITHSONIAN	11	NO	male	NA		NA		1.5 mi E Moundville	Vernon	Missouri				15	Apr	1978	209686		-2.781346285	0.5109
99859	649233	0.001	0.999	-94.406	37.757	SMITHSONIAN	12	NO	male	NA		NA		2.5 mi E Moundville	Vernon	Missouri				15	Apr	1978			6.916356145	0.6447
99861	649237	0.0076	0.9924	-94.425	37.7	SMITHSONIAN	16	NO	male	NA		NA		2.5 mi E & 0.5 mi N Bronaugh	Vernon	Missouri				15	Apr	1978			6.936380907	0.6734
99862	649238	0.9916	0.0084	-94.424	37.707	SMITHSONIAN	17	NO	male	NA		NA		2.5 mi E & 1.0 mi N Bronaugh	Vernon	Missouri				15	Apr	1978			-8.171663253	0.2966
