dist min max mean
1 0.0198522366339734 0.17740303123444 0.0901858386008852
2 0.0198597595683878 0.177436774295814 0.090206783581194
3 0.019867285295795 0.177470522390301 0.0902277329433084
4 0.0198748138171881 0.177504275518123 0.0902486866879211
5 0.0198823451335607 0.177538033679506 0.0902696448157247
6 0.0198898792459064 0.177571796874671 0.0902906073274117
7 0.0198974161552193 0.177605565103843 0.0903115742236747
8 0.019904955862494 0.177639338367245 0.0903325455052064
9 0.019912498368725 0.177673116665099 0.0903535211726992
10 0.0199200436749074 0.177706899997628 0.0903745012268458
11 0.0199275917820367 0.177740688365054 0.0903954856683387
12 0.0199351426911084 0.177774481767601 0.0904164744978707
13 0.0199426964031187 0.177808280205489 0.0904374677161342
14 0.0199502529190637 0.17784208367894 0.0904584653238219
15 0.0199578122399403 0.177875892188177 0.0904794673216264
16 0.0199653743667453 0.177909705733421 0.0905004737102404
17 0.019972939300476 0.177943524314892 0.0905214844903563
18 0.01998050704213 0.177977347932813 0.0905424996626669
19 0.0199880775927054 0.178011176587403 0.0905635192278647
20 0.0199956509532003 0.178045010278884 0.0905845431866425
21 0.0200032271246133 0.178078849007476 0.0906055715396928
22 0.0200108061079433 0.178112692773398 0.0906266042877083
23 0.0200183879041895 0.178146541576872 0.0906476414313815
24 0.0200259725143515 0.178180395418117 0.0906686829714052
25 0.0200335599394291 0.178214254297352 0.090689728908472
26 0.0200411501804225 0.178248118214797 0.0907107792432746
27 0.0200487432383322 0.178281987170671 0.0907318339765055
28 0.0200563391141591 0.178315861165193 0.0907528931088574
29 0.0200639378089042 0.178349740198582 0.090773956641023
30 0.0200715393235691 0.178383624271056 0.090795024573695
31 0.0200791436591555 0.178417513382834 0.090816096907566
32 0.0200867508166656 0.178451407534134 0.0908371736433287
33 0.0200943607971018 0.178485306725174 0.0908582547816757
34 0.0201019736014668 0.178519210956172 0.0908793403232997
35 0.0201095892307637 0.178553120227345 0.0909004302688934
36 0.020117207685996 0.178587034538911 0.0909215246191494
37 0.0201248289681673 0.178620953891086 0.0909426233747605
38 0.0201324530782817 0.178654878284088 0.0909637265364193
39 0.0201400800173436 0.178688807718134 0.0909848341048184
40 0.0201477097863576 0.17872274219344 0.0910059460806507
41 0.0201553423863288 0.178756681710221 0.0910270624646087
42 0.0201629778182625 0.178790626268696 0.0910481832573851
43 0.0201706160831644 0.178824575869079 0.0910693084596726
44 0.0201782571820405 0.178858530511586 0.091090438072164
45 0.020185901115897 0.178892490196432 0.0911115720955519
46 0.0201935478857405 0.178926454923833 0.0911327105305289
47 0.0202011974925782 0.178960424694005 0.0911538533777879
48 0.0202088499374171 0.178994399507161 0.0911750006380215
49 0.0202165052212649 0.179028379363517 0.0911961523119224
50 0.0202241633451296 0.179062364263286 0.0912173084001832
51 0.0202318243100194 0.179096354206685 0.0912384689034968
52 0.0202394881169428 0.179130349193925 0.0912596338225558
53 0.0202471547669088 0.179164349225222 0.0912808031580529
54 0.0202548242609265 0.179198354300789 0.0913019769106807
55 0.0202624966000055 0.179232364420839 0.0913231550811322
56 0.0202701717851557 0.179266379585585 0.0913443376700998
57 0.0202778498173872 0.179300399795241 0.0913655246782764
58 0.0202855306977106 0.17933442505002 0.0913867161063547
59 0.0202932144271367 0.179368455350134 0.0914079119550273
60 0.0203009010066767 0.179402490695795 0.0914291122249869
61 0.020308590437342 0.179436531087216 0.0914503169169265
62 0.0203162827201444 0.179470576524609 0.0914715260315384
63 0.0203239778560962 0.179504627008185 0.0914927395695156
64 0.0203316758462097 0.179538682538156 0.0915139575315508
65 0.0203393766914977 0.179572743114734 0.0915351799183366
66 0.0203470803929734 0.179606808738129 0.0915564067305658
67 0.0203547869516501 0.179640879408553 0.091577637968931
68 0.0203624963685416 0.179674955126217 0.0915988736341251
69 0.0203702086446621 0.17970903589133 0.0916201137268407
70 0.0203779237810258 0.179743121704103 0.0916413582477706
71 0.0203856417786476 0.179777212564747 0.0916626071976075
72 0.0203933626385425 0.179811308473472 0.091683860577044
73 0.0204010863617259 0.179845409430486 0.0917051183867729
74 0.0204088129492134 0.179879515436 0.091726380627487
75 0.0204165424020212 0.179913626490223 0.091747647299879
76 0.0204242747211656 0.179947742593363 0.0917689184046415
77 0.0204320099076632 0.179981863745631 0.0917901939424672
78 0.0204397479625311 0.180015989947234 0.0918114739140491
79 0.0204474888867866 0.180050121198381 0.0918327583200796
80 0.0204552326814473 0.18008425749928 0.0918540471612516
81 0.0204629793475313 0.18011839885014 0.0918753404382578
82 0.0204707288860569 0.180152545251168 0.0918966381517909
83 0.0204784812980426 0.180186696702572 0.0919179403025436
84 0.0204862365845075 0.180220853204559 0.0919392468912086
85 0.0204939947464709 0.180255014757336 0.0919605579184787
86 0.0205017557849523 0.180289181361111 0.0919818733850465
87 0.0205095197009718 0.18032335301609 0.0920031932916048
88 0.0205172864955495 0.18035752972248 0.0920245176388464
89 0.0205250561697061 0.180391711480488 0.0920458464274639
90 0.0205328287244625 0.180425898290319 0.09206717965815
91 0.0205406041608399 0.180460090152179 0.0920885173315974
92 0.0205483824798599 0.180494287066274 0.0921098594484989
93 0.0205561636825445 0.18052848903281 0.0921312060095472
94 0.0205639477699158 0.180562696051992 0.0921525570154349
95 0.0205717347429964 0.180596908124026 0.0921739124668548
96 0.0205795246028092 0.180631125249115 0.0921952723644997
97 0.0205873173503774 0.180665347427466 0.0922166367090621
98 0.0205951129867245 0.180699574659281 0.0922380055012349
99 0.0206029115128744 0.180733806944767 0.0922593787417107
100 0.0206107129298513 0.180768044284126 0.0922807564311822
101 0.0206185172386797 0.180802286677562 0.0923021385703421
102 0.0206263244403844 0.18083653412528 0.0923235251598831
103 0.0206341345359906 0.180870786627482 0.092344916200498
104 0.0206419475265239 0.180905044184373 0.0923663116928794
105 0.02064976341301 0.180939306796154 0.0923877116377199
106 0.0206575821964751 0.180973574463029 0.0924091160357125
107 0.0206654038779457 0.181007847185201 0.0924305248875496
108 0.0206732284584486 0.181042124962871 0.092451938193924
109 0.0206810559390109 0.181076407796243 0.0924733559555283
110 0.0206888863206602 0.181110695685517 0.0924947781730553
111 0.0206967196044241 0.181144988630896 0.0925162048471977
112 0.0207045557913308 0.181179286632581 0.0925376359786481
113 0.0207123948824089 0.181213589690774 0.0925590715680992
114 0.020720236878687 0.181247897805676 0.0925805116162436
115 0.0207280817811942 0.181282210977487 0.0926019561237742
116 0.0207359295909601 0.181316529206409 0.0926234050913834
117 0.0207437803090143 0.181350852492642 0.092644858519764
118 0.020751633936387 0.181385180836386 0.0926663164096088
119 0.0207594904741085 0.181419514237841 0.0926877787616102
120 0.0207673499232097 0.181453852697207 0.092709245576461
121 0.0207752122847216 0.181488196214684 0.0927307168548539
122 0.0207830775596757 0.181522544790472 0.0927521925974815
123 0.0207909457491036 0.181556898424769 0.0927736728050364
