param,mean,median,0.950_CI_LB,0.950_CI_UB
hi_param_0,0.942852,0.942335,0.934972,0.956716
hi_param_1,0.497792,0.497560,0.491562,0.503264
hi_param_2,0.163741,0.162133,0.123591,0.204306
hi_param_3,0.450884,0.451857,0.440045,0.459382
hi_param_4,0.045812,0.023388,0.010485,0.098281
hi_param_5,0.497842,0.497835,0.491471,0.503084
hi_param_6,0.193662,0.201866,0.127627,0.248005
hi_param_7,0.134794,0.134582,0.096036,0.174003
hi_param_8,0.488709,0.488888,0.481464,0.496158
hi_param_9,0.452437,0.452932,0.442822,0.462519
hi_param_10,0.856265,0.856585,0.850692,0.861832
hi_param_11,0.496026,0.495990,0.486430,0.505355
hi_param_12,0.499224,0.499574,0.491208,0.506174
hi_param_13,0.506823,0.507039,0.500326,0.517380
hi_param_14,0.447488,0.447566,0.438975,0.457420
hi_param_15,0.970408,0.969722,0.961027,0.977677
hi_param_16,0.498058,0.498185,0.491342,0.505467
hi_param_17,0.931110,0.929435,0.912115,0.951768
hi_param_18,0.872501,0.872010,0.848139,0.898076
hi_param_19,0.500030,0.500139,0.494557,0.506243
hi_param_20,0.502610,0.502478,0.497370,0.510752
hi_param_21,0.498032,0.498033,0.493628,0.502522
hi_param_22,0.497616,0.497992,0.491419,0.502745
hi_param_23,0.811882,0.810966,0.803199,0.820707
hi_param_24,0.723876,0.720742,0.693603,0.751805
hi_param_25,0.496884,0.497043,0.488454,0.503366
hi_param_26,0.021312,0.014831,0.011290,0.088865
hi_param_27,0.539611,0.539613,0.529964,0.549782
hi_param_28,0.499854,0.499737,0.493337,0.505899
hi_param_29,0.552226,0.551521,0.543569,0.563351
hi_param_30,0.501285,0.501542,0.494227,0.506694
hi_param_31,0.573804,0.572301,0.564849,0.589513
hi_param_32,0.441871,0.445387,0.425444,0.455020
hi_param_33,0.239530,0.240541,0.199537,0.277591
hi_param_34,0.497639,0.497696,0.491354,0.503648
hi_param_35,0.007043,0.006841,0.003478,0.012549
hi_param_36,0.501614,0.501947,0.493983,0.507959
hi_param_37,0.504797,0.504862,0.498670,0.509482
hi_param_38,0.502022,0.501969,0.495138,0.508344
hi_param_39,0.501016,0.500649,0.495826,0.507504
hi_param_40,0.126771,0.130539,0.075772,0.160092
hi_param_41,0.496789,0.496896,0.488964,0.503511
hi_param_42,0.134677,0.131149,0.089281,0.181069
hi_param_43,0.178590,0.179423,0.137916,0.209579
hi_param_44,0.498653,0.499539,0.489084,0.505266
hi_param_45,0.496133,0.495893,0.490087,0.502057
hi_param_46,0.451766,0.453324,0.439208,0.461881
hi_param_47,0.504747,0.504556,0.498832,0.511739
hi_param_48,0.496513,0.496184,0.491000,0.502133
hi_param_49,0.034450,0.020963,0.014439,0.117296
hi_param_50,0.546578,0.545335,0.538522,0.556825
hi_param_51,0.137360,0.138313,0.098352,0.176090
hi_param_52,0.498369,0.498319,0.491526,0.505346
hi_param_53,0.456817,0.456434,0.448693,0.467828
hi_param_54,0.104289,0.108364,0.049802,0.139050
hi_param_55,0.023504,0.019313,0.009243,0.103288
